proj,id,trigger_exceptions
Closure,8,junit.framework.AssertionFailedError
Closure,10,junit.framework.AssertionFailedError
Closure,12,junit.framework.AssertionFailedError
Closure,17,junit.framework.ComparisonFailure
Closure,21,junit.framework.AssertionFailedError
Closure,30,junit.framework.AssertionFailedError#junit.framework.AssertionFailedError#junit.framework.AssertionFailedError
Closure,31,junit.framework.AssertionFailedError
Closure,33,junit.framework.AssertionFailedError
Closure,48,junit.framework.AssertionFailedError
Closure,52,junit.framework.ComparisonFailure
Closure,59,junit.framework.AssertionFailedError
Closure,60,junit.framework.AssertionFailedError#junit.framework.AssertionFailedError
Closure,61,junit.framework.AssertionFailedError#junit.framework.AssertionFailedError#junit.framework.AssertionFailedError
Closure,62,junit.framework.ComparisonFailure#junit.framework.ComparisonFailure
Closure,64,junit.framework.AssertionFailedError
Closure,65,junit.framework.ComparisonFailure
Closure,66,junit.framework.AssertionFailedError#junit.framework.AssertionFailedError
Closure,68,junit.framework.AssertionFailedError
Closure,73,junit.framework.ComparisonFailure
Closure,74,junit.framework.AssertionFailedError#junit.framework.ComparisonFailure#junit.framework.ComparisonFailure
Closure,75,junit.framework.AssertionFailedError
Closure,76,junit.framework.AssertionFailedError#junit.framework.AssertionFailedError#junit.framework.AssertionFailedError#junit.framework.AssertionFailedError
Closure,80,junit.framework.AssertionFailedError#java.lang.IllegalStateException
Closure,82,junit.framework.AssertionFailedError#junit.framework.AssertionFailedError
Closure,85,junit.framework.AssertionFailedError#java.lang.RuntimeException
Closure,91,junit.framework.AssertionFailedError
Closure,92,junit.framework.AssertionFailedError
Closure,99,junit.framework.AssertionFailedError#junit.framework.AssertionFailedError#junit.framework.AssertionFailedError
Closure,104,junit.framework.AssertionFailedError
Closure,107,junit.framework.AssertionFailedError
Closure,113,junit.framework.AssertionFailedError
Closure,114,junit.framework.AssertionFailedError
Closure,115,junit.framework.AssertionFailedError#junit.framework.AssertionFailedError#junit.framework.AssertionFailedError#junit.framework.AssertionFailedError#junit.framework.AssertionFailedError
Closure,120,junit.framework.AssertionFailedError
Closure,121,junit.framework.AssertionFailedError
Closure,125,java.lang.IllegalStateException
Closure,128,junit.framework.ComparisonFailure
Closure,131,junit.framework.AssertionFailedError#junit.framework.AssertionFailedError
Closure,133,java.lang.IllegalStateException
Lang,4,junit.framework.AssertionFailedError
Lang,6,java.lang.StringIndexOutOfBoundsException
Lang,13,org.apache.commons.lang3.SerializationException
Lang,46,junit.framework.ComparisonFailure
Lang,51,java.lang.StringIndexOutOfBoundsException
Lang,53,junit.framework.AssertionFailedError
Math,2,junit.framework.AssertionFailedError
Math,10,junit.framework.AssertionFailedError
Math,14,java.lang.OutOfMemoryError
Math,15,junit.framework.AssertionFailedError
Math,23,junit.framework.AssertionFailedError
Math,24,junit.framework.AssertionFailedError
Math,26,junit.framework.AssertionFailedError
Math,28,org.apache.commons.math3.exception.MaxCountExceededException
Math,42,junit.framework.AssertionFailedError
Math,45,junit.framework.AssertionFailedError
Math,46,junit.framework.AssertionFailedError#junit.framework.AssertionFailedError
Math,48,java.lang.Exception
Math,50,junit.framework.AssertionFailedError
Math,53,junit.framework.AssertionFailedError
Math,60,org.apache.commons.math.ConvergenceException
Math,64,junit.framework.AssertionFailedError#junit.framework.AssertionFailedError
Math,75,junit.framework.AssertionFailedError
Math,87,junit.framework.AssertionFailedError
Math,88,junit.framework.AssertionFailedError
Math,89,java.lang.ClassCastException
Math,94,junit.framework.AssertionFailedError
