proj,id,trigger_exceptions,patch_changes,buggy,original
Closure,8,junit.framework.AssertionFailedError,"com.google.javascript.jscomp.CollapseVariableDeclarations\$GatherCollapses:canBeRedeclared:[Node n, Scope s]:boolean",com/google/javascript/jscomp/type,src/com/google/javascript/jscomp
Closure,8,junit.framework.AssertionFailedError,"com.google.javascript.jscomp.CollapseVariableDeclarations\$GatherCollapses:canBeRedeclared:[Node n, Scope s]:boolean",com/google/javascript/jscomp/graph,src/com/google/javascript/jscomp
Closure,10,junit.framework.AssertionFailedError,"com.google.javascript.jscomp.NodeUtil:valueCheck:[Node n, Predicate<Node> p]:boolean#com.google.javascript.jscomp.NodeUtil:isNumericResult:[Node n]:boolean#com.google.javascript.jscomp.NodeUtil:mayBeString:[Node n, boolean recurse]:boolean#com.google.javascript.jscomp.NodeUtil:isBooleanResult:[Node n]:boolean",com/google/javascript/jscomp/type,src/com/google/javascript/jscomp
Closure,10,junit.framework.AssertionFailedError,"com.google.javascript.jscomp.NodeUtil:valueCheck:[Node n, Predicate<Node> p]:boolean#com.google.javascript.jscomp.NodeUtil:isNumericResult:[Node n]:boolean#com.google.javascript.jscomp.NodeUtil:mayBeString:[Node n, boolean recurse]:boolean#com.google.javascript.jscomp.NodeUtil:isBooleanResult:[Node n]:boolean",com/google/javascript/jscomp/graph,src/com/google/javascript/jscomp
Closure,12,junit.framework.AssertionFailedError,"com.google.javascript.jscomp.MaybeReachingVariableUse:flowThrough:[Node n, ReachingUses input]:ReachingUses",com/google/javascript/jscomp/type,src/com/google/javascript/jscomp
Closure,12,junit.framework.AssertionFailedError,"com.google.javascript.jscomp.MaybeReachingVariableUse:flowThrough:[Node n, ReachingUses input]:ReachingUses",com/google/javascript/jscomp/graph,src/com/google/javascript/jscomp
Closure,17,junit.framework.ComparisonFailure,"com.google.javascript.jscomp.TypedScopeCreator\$AbstractScopeBuilder:getDeclaredType:[String sourceName, JSDocInfo info, Node lValue, @Nullable Node rValue]:JSType",com/google/javascript/jscomp/type,src/com/google/javascript/jscomp
Closure,17,junit.framework.ComparisonFailure,"com.google.javascript.jscomp.TypedScopeCreator\$AbstractScopeBuilder:getDeclaredType:[String sourceName, JSDocInfo info, Node lValue, @Nullable Node rValue]:JSType",com/google/javascript/jscomp/graph,src/com/google/javascript/jscomp
Closure,17,junit.framework.ComparisonFailure,"com.google.javascript.jscomp.TypedScopeCreator\$AbstractScopeBuilder:getDeclaredType:[String sourceName, JSDocInfo info, Node lValue, @Nullable Node rValue]:JSType",com/google/debugging,src/com/google/javascript/jscomp
Closure,17,junit.framework.ComparisonFailure,"com.google.javascript.jscomp.TypedScopeCreator\$AbstractScopeBuilder:getDeclaredType:[String sourceName, JSDocInfo info, Node lValue, @Nullable Node rValue]:JSType",com/google/debugging,test/com/google/javascript/jscomp
Closure,21,junit.framework.AssertionFailedError,"com.google.javascript.jscomp.CheckSideEffects:visit:[NodeTraversal t, Node n, Node parent]:void#com.google.javascript.jscomp.NodeUtil:isExpressionResultUsed:[Node expr]:boolean",,
Closure,30,junit.framework.AssertionFailedError#junit.framework.AssertionFailedError#junit.framework.AssertionFailedError,"com.google.javascript.jscomp.FlowSensitiveInlineVariables:process:[Node externs, Node root]:void#com.google.javascript.jscomp.FlowSensitiveInlineVariables\$GatherCandiates:visit:[NodeTraversal t, Node n, Node parent]:void#com.google.javascript.jscomp.MustBeReachingVariableDef:dependsOnOuterScopeVars:[String name, Node useNode]:boolean#com.google.javascript.jscomp.MustBeReachingVariableDef:computeDependence:[final Definition def, Node rValue]:void",com/google/javascript/jscomp/type,src/com/google/javascript/jscomp
Closure,31,junit.framework.AssertionFailedError,com.google.javascript.jscomp.Compiler:parseInputs:[]:Node,com/google/javascript/jscomp/type,com/google/javascript/jscomp
Closure,31,junit.framework.AssertionFailedError,com.google.javascript.jscomp.Compiler:parseInputs:[]:Node,com/google/javascript/jscomp/graph,com/google/javascript/jscomp
Closure,33,junit.framework.AssertionFailedError,com.google.javascript.rhino.jstype.PrototypeObjectType:matchConstraint:[ObjectType constraintObj]:void,,
Closure,48,junit.framework.AssertionFailedError,"com.google.javascript.jscomp.TypedScopeCreator\$AbstractScopeBuilder:isQnameRootedInGlobalScope:[Node n]:boolean#com.google.javascript.jscomp.TypedScopeCreator\$AbstractScopeBuilder:maybeDeclareQualifiedName:[NodeTraversal t, JSDocInfo info, Node n, Node parent, Node rhsValue]:void",,
Closure,52,junit.framework.ComparisonFailure,com.google.javascript.jscomp.CodeGenerator:isSimpleNumber:[String s]:boolean,,
Closure,59,junit.framework.AssertionFailedError,com.google.javascript.jscomp.Compiler:initOptions:[CompilerOptions options]:void,,
